,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted
log_35_1691502765.xes,"[(1364, 1364), (2728, 2728)]","[(1381, 1381), (2746, 3501)]","['sudden', 'sudden']","['sudden', 'gradual']",0.5,0.5,0.5,34.0,"['sudden', nan]","['sudden', 'gradual']"
log_36_1691502766.xes,"[(199, 199), (1257, 1257), (3341, 3341)]","[(1204, 1836), (3444, 4419)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']"
log_37_1691502768.xes,[],"[(1209, 1209)]",[],['sudden'],,,,,[nan],['sudden']
log_38_1691502768.xes,"[(1722, 1722), (3401, 3401)]","[(1676, 1676), (3302, 3302)]","['sudden', 'sudden']","['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']"
log_39_1691502770.xes,"[(981, 981)]","[(957, 1713)]",['sudden'],['gradual'],,,,,[nan],['gradual']
log_3_1691502642.xes,[],"[(1855, 1855), (2697, 3471)]",[],"['sudden', 'gradual']",,,,,"[nan, nan]","['sudden', 'gradual']"
log_40_1691502770.xes,"[(819, 819), (2534, 2534)]","[(807, 1764), (2545, 2545)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,22.0,"['sudden', nan]","['sudden', 'gradual']"
log_41_1691502771.xes,"[(1834, 1834)]","[(1821, 1821), (2561, 3109), (3677, 3677)]",['sudden'],"['sudden', 'gradual', 'sudden']",0.5,1.0,0.3333333333333333,26.0,"['sudden', nan, nan]","['sudden', 'gradual', 'sudden']"
log_42_1691502773.xes,"[(1931, 1931), (3684, 3684), (6102, 6102), (9156, 9156)]","[(1915, 1915), (3593, 4225), (6061, 6901), (8807, 9534)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'gradual', 'gradual']",0.25,0.25,0.25,32.0,"['sudden', nan, nan, nan]","['sudden', 'gradual', 'gradual', 'gradual']"
log_43_1691502781.xes,"[(882, 882), (2446, 2446), (4618, 4618)]","[(912, 912), (2513, 3463), (4649, 5180)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'gradual']",0.3333333333333333,0.3333333333333333,0.3333333333333333,60.0,"['sudden', nan, nan]","['sudden', 'gradual', 'gradual']"
log_44_1691502783.xes,"[(610, 610), (1726, 1726), (3248, 3248), (4044, 4044)]","[(622, 622), (1757, 1757), (3264, 3264), (3968, 4672)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden', 'gradual']",0.75,0.75,0.75,39.333333333333336,"['sudden', 'sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden', 'gradual']"
log_45_1691502785.xes,"[(1765, 1765)]","[(1746, 1746), (3238, 3238)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,38.0,"['sudden', nan]","['sudden', 'sudden']"
log_46_1691502785.xes,"[(698, 698), (2868, 2868)]","[(666, 1205), (2878, 2878)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,20.0,"['sudden', nan]","['sudden', 'gradual']"
log_47_1691502786.xes,"[(1246, 1246)]","[(1212, 1212)]",['sudden'],['sudden'],,,,,[nan],['sudden']
log_48_1691502787.xes,"[(3187, 3187)]","[(1699, 1699), (2788, 3597)]",['sudden'],"['sudden', 'gradual']",,,,,"[nan, nan]","['sudden', 'gradual']"
log_49_1691502790.xes,[],"[(1816, 2365), (4198, 4906), (5752, 5752)]",[],"['gradual', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'sudden']"
log_4_1691502644.xes,"[(2067, 2067)]","[(1702, 2499), (4283, 4283)]",['sudden'],"['gradual', 'sudden']",,,,,"[nan, nan]","['gradual', 'sudden']"
log_50_1691502792.xes,"[(1659, 1659)]","[(1721, 1721), (2438, 2438), (3864, 3864)]",['sudden'],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']"
log_51_1691502796.xes,"[(3325, 3325), (5511, 5511)]","[(1203, 1883), (3127, 3733), (5485, 6424)]","['sudden', 'sudden']","['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_52_1691502797.xes,[],"[(746, 1491)]",[],['gradual'],,,,,[nan],['gradual']
log_53_1691502798.xes,"[(1670, 1670), (3952, 3952), (5683, 5683), (7218, 7218)]","[(1639, 2361), (3971, 4546), (5688, 6375), (7222, 7222)]","['sudden', 'sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual', 'sudden']",0.25,0.25,0.25,8.0,"['sudden', nan, nan, nan]","['sudden', 'gradual', 'gradual', 'gradual']"
log_54_1691502801.xes,"[(701, 701), (2226, 2226)]","[(715, 715), (2226, 2796)]","['sudden', 'sudden']","['sudden', 'gradual']",0.5,0.5,0.5,28.0,"['sudden', nan]","['sudden', 'gradual']"
log_55_1691502801.xes,"[(686, 686), (2876, 2876), (5716, 5716)]","[(699, 1226), (2891, 3769), (5744, 6393)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_56_1691502804.xes,"[(3858, 3858)]","[(1985, 1985), (3944, 3944), (5541, 5541)]",['sudden'],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']"
log_57_1691502808.xes,[],"[(1814, 2736), (4269, 4269), (6268, 7033), (7870, 7870)]",[],"['gradual', 'sudden', 'gradual', 'sudden']",,,,,"[nan, nan, nan, nan]","['gradual', 'sudden', 'gradual', 'sudden']"
log_58_1691502810.xes,[],"[(562, 1360), (2039, 2650), (3906, 4789), (5551, 6058)]",[],"['gradual', 'gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'gradual', 'gradual']"
log_59_1691502813.xes,"[(1894, 1894)]","[(1437, 1437), (2100, 2100), (2922, 2922), (3843, 3843)]",['sudden'],"['sudden', 'sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan, nan]","['sudden', 'sudden', 'sudden', 'sudden']"
log_5_1691502650.xes,"[(759, 759), (2721, 2721), (4425, 4425)]","[(790, 790), (2760, 2760), (4446, 4446)]","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",1.0,1.0,1.0,60.666666666666664,"['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']"
log_60_1691502817.xes,"[(833, 833)]","[(930, 930), (2768, 2768)]",['sudden'],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']"
log_61_1691502819.xes,[],"[(1755, 2393), (3071, 3071)]",[],"['gradual', 'sudden']",,,,,"[nan, nan]","['gradual', 'sudden']"
log_62_1691502820.xes,"[(1789, 1789)]","[(1673, 1673)]",['sudden'],['sudden'],,,,,[nan],['sudden']
log_63_1691502822.xes,"[(1778, 1778), (2905, 2905)]","[(1462, 2278), (2842, 2842)]","['sudden', 'sudden']","['gradual', 'sudden']",,,,,"[nan, nan]","['gradual', 'sudden']"
log_64_1691502823.xes,"[(1045, 1045), (1950, 1950), (3871, 3871), (4970, 4970)]","[(1070, 1070), (1957, 1957), (3884, 3884), (4980, 5754)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden', 'gradual']",0.75,0.75,0.75,30.0,"['sudden', 'sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden', 'gradual']"
log_65_1691502826.xes,[],"[(1258, 1867), (3047, 3900), (5061, 5988), (7779, 8407)]",[],"['gradual', 'gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'gradual', 'gradual']"
log_66_1691502834.xes,"[(1816, 1816)]","[(1833, 1833), (3688, 3688), (5640, 5640)]",['sudden'],"['sudden', 'sudden', 'sudden']",0.5,1.0,0.3333333333333333,34.0,"['sudden', nan, nan]","['sudden', 'sudden', 'sudden']"
log_67_1691502841.xes,"[(1912, 1912), (3868, 3868)]","[(1919, 1919), (3902, 3902)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,41.0,"['sudden', 'sudden']","['sudden', 'sudden']"
log_68_1691502844.xes,"[(766, 766), (1940, 1940)]","[(786, 786), (1988, 1988)]","['sudden', 'sudden']","['sudden', 'sudden']",0.5,0.5,0.5,40.0,"['sudden', nan]","['sudden', 'sudden']"
log_69_1691502846.xes,[],"[(1284, 1823), (2432, 3058), (4278, 4278), (5867, 5867)]",[],"['gradual', 'gradual', 'sudden', 'sudden']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'sudden', 'sudden']"
log_6_1691502653.xes,"[(1514, 1514), (5330, 5330)]","[(1350, 1350), (2506, 3289), (5246, 5246)]","['sudden', 'sudden']","['sudden', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'sudden']"
log_70_1691502851.xes,[],"[(1729, 2668), (4536, 5470)]",[],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']"
log_71_1691502853.xes,"[(3875, 5642)]","[(1708, 2352), (3511, 4432), (5784, 5784)]",['gradual'],"['gradual', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'sudden']"
log_72_1691502860.xes,"[(1672, 1672)]","[(1603, 2508)]",['sudden'],['gradual'],,,,,[nan],['gradual']
log_73_1691502861.xes,[],"[(1304, 1304), (2639, 2639)]",[],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']"
log_74_1691502868.xes,[],"[(1442, 1442), (2591, 2591), (3622, 4283)]",[],"['sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'gradual']"
log_75_1691502870.xes,"[(1949, 2309)]","[(1474, 2469)]",['gradual'],['gradual'],,,,,[nan],['gradual']
log_76_1691502871.xes,"[(2293, 2293), (4637, 4637), (7420, 7420)]","[(787, 1646), (2243, 2941), (4588, 5442), (7406, 7406)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual', 'sudden']",0.28571428571428575,0.3333333333333333,0.25,28.0,"['sudden', nan, nan, nan]","['sudden', 'gradual', 'gradual', 'gradual']"
log_77_1691502874.xes,"[(1957, 1957)]","[(1966, 1966), (2799, 2799), (4212, 4212)]",['sudden'],"['sudden', 'sudden', 'sudden']",0.5,1.0,0.3333333333333333,18.0,"['sudden', nan, nan]","['sudden', 'sudden', 'sudden']"
log_78_1691502879.xes,"[(1507, 1507), (2610, 2610), (4543, 4543)]","[(1457, 1457), (2622, 3549)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual']",0.4,0.3333333333333333,0.5,100.0,"['sudden', nan]","['sudden', 'gradual']"
log_79_1691502881.xes,"[(915, 915), (2492, 2492)]","[(797, 1592), (2500, 2500)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,16.0,"['sudden', nan]","['sudden', 'gradual']"
log_7_1691502658.xes,[],"[(1623, 1623), (3448, 4266), (6009, 6009), (7740, 8427)]",[],"['sudden', 'gradual', 'sudden', 'gradual']",,,,,"[nan, nan, nan, nan]","['sudden', 'gradual', 'sudden', 'gradual']"
log_80_1691502884.xes,[],"[(1729, 2441), (3846, 4400), (6389, 6933), (8828, 8828)]",[],"['gradual', 'gradual', 'gradual', 'sudden']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'gradual', 'sudden']"
log_81_1691502893.xes,"[(555, 555)]","[(597, 597)]",['sudden'],['sudden'],,,,,[nan],['sudden']
log_82_1691502895.xes,[],"[(710, 1453), (2882, 3792), (5692, 6692)]",[],"['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_83_1691502901.xes,"[(1549, 1549)]","[(1090, 1767), (3043, 3695)]",['sudden'],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']"
log_84_1691502904.xes,"[(850, 850), (1685, 1685), (3391, 3391)]","[(862, 862), (1688, 2574), (3396, 3396)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden']",0.6666666666666666,0.6666666666666666,0.6666666666666666,17.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'gradual']"
log_85_1691502906.xes,[],"[(698, 1438), (2328, 3202), (3793, 3793), (4662, 4662)]",[],"['gradual', 'gradual', 'sudden', 'sudden']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'sudden', 'sudden']"
log_86_1691502910.xes,"[(1665, 1665)]","[(1699, 1699), (3029, 3881)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,68.0,"['sudden', nan]","['sudden', 'gradual']"
log_87_1691502918.xes,"[(525, 525)]","[(553, 553)]",['sudden'],['sudden'],,,,,[nan],['sudden']
log_88_1691502919.xes,"[(4654, 4654), (6670, 6670)]","[(1841, 2780), (4631, 5322), (6628, 7432)]","['sudden', 'sudden']","['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_89_1691502926.xes,[],"[(1521, 1521), (3129, 4064), (5858, 5858)]",[],"['sudden', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'sudden']"
log_8_1691502661.xes,"[(2727, 3441)]","[(507, 1232), (2405, 2918)]",['gradual'],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']"
log_90_1691502932.xes,[],"[(564, 1560), (3275, 4066), (4664, 4664), (5647, 6436)]",[],"['gradual', 'gradual', 'sudden', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'sudden', 'gradual']"
log_91_1691502939.xes,[],"[(1667, 1667), (2945, 2945), (3509, 4215)]",[],"['sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'gradual']"
log_92_1691502942.xes,[],"[(1403, 1403)]",[],['sudden'],,,,,[nan],['sudden']
log_93_1691502944.xes,[],"[(1973, 2514), (3860, 3860), (5037, 5037), (5889, 5889)]",[],"['gradual', 'sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan, nan]","['gradual', 'sudden', 'sudden', 'sudden']"
log_94_1691502948.xes,"[(202, 202), (1599, 1599), (3035, 3035), (4220, 4220)]","[(1618, 1618), (3043, 3043), (4241, 4916)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'gradual']",0.5714285714285715,0.5,0.6666666666666666,27.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'gradual']"
log_95_1691502954.xes,"[(1797, 1797)]","[(1770, 2756)]",['sudden'],['gradual'],,,,,[nan],['gradual']
log_96_1691502956.xes,[],"[(1354, 1354), (2017, 2017), (3856, 4580), (5317, 5926)]",[],"['sudden', 'sudden', 'gradual', 'gradual']",,,,,"[nan, nan, nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_97_1691502961.xes,"[(1884, 1884), (2876, 2876), (5049, 5049), (5751, 5751)]","[(1914, 1914), (2901, 3652), (5076, 5076), (5765, 6406)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden', 'gradual']",0.5,0.5,0.5,57.0,"['sudden', 'sudden', nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_98_1691502967.xes,"[(276, 276), (619, 619), (1174, 1174), (3260, 3260), (3815, 3815)]","[(578, 578), (1129, 2097), (3225, 3847), (5315, 5315)]","['sudden', 'sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",0.22222222222222224,0.2,0.25,82.0,"['sudden', nan, nan, nan]","['sudden', 'gradual', 'gradual', 'sudden']"
log_99_1691502969.xes,[],"[(845, 1828)]",[],['gradual'],,,,,[nan],['gradual']
log_9_1691502664.xes,"[(1350, 1350), (2258, 2258), (2968, 2968), (4630, 4630)]","[(1361, 1361), (2967, 3820), (4660, 4660)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden']",0.5714285714285715,0.5,0.6666666666666666,41.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'gradual']"
